Date,Event,Registrations,All_Attendance,Livestream,Room Capacity,Category,Guest_Speaker,in_person,Genres
1/22/2020,"Andrea Bernstein: ""American Oligarchs""",81,50,0,254,Social,Yes,50,Politics
5/10/2023,Cognoscenti presents: Redefining motherhood for the 21st century,216,175,29,254,Social,No,146,Social Issues
7/28/2022,Mercy: Bill Littlefield,62,35,17,254,Social,Yes,18,Literature
7/23/2020,Monumental Change: Addressing The Legacies of Systemic Racism In Public,429,214,0,254,Social,No,214,Social Issues
6/21/2023,Rich Country/Poor Citizens: Authors Matthew Desmond and Andre Dubus III on American poverty,348,291,79,254,Social,Yes,212,Social Issues
1/27/2020,Sexual Citizens,80,60,0,254,Social,No,60,Social Issues
3/26/2019,"Single Payer: The Pros, The Cons and What's Possible",55,37,0,254,Social,No,37,Health & Wellness
3/11/2019,Tackling Gun Violence,221,186,0,254,Social,No,186,Politics
4/11/2019,The Challenge To Responsibility: A Call To Conscience,93,79,0,254,Social,No,79,History
6/14/2023,The Lehman Legacy: The true cost of capitalism and racism,407,162,95,254,Social,No,67,History
11/7/2019,The Loop Lab: Celebrating Equity in Video and Pocasting,58,65,0,254,Social,No,65,Journalism & Media
1/18/2020,The Lasting Appeal Little Women,109,88,0,254,Social,No,88,Literature
10/19/2023,The Makers 2023: A celebration honoring emerging artists of color in Boston,289,173,0,254,Social,No,173,Arts & Culture
7/23/2019,Who Should Sing Ol' Man River? Portraying Race Through Musical Theatre,205,137,0,254,Social,No,137,Social Issues
7/19/2022,Youth Takeover: Arts and Culture,32,6,0,254,Social,No,6,Arts & Culture
2/18/2022,"Live in concert: Heesu, WBUR's Massachusetts favorite of the Tiny Desk",271,191,73,254,Sound On,No,118,Entertainment
2/16/2023,Sound On Global: Acoustic Nomads presents “The Abominable Stringband Vol. 2”,89,71,0,254,Sound On,No,71,Entertainment
4/2/2023,"Sound On Global: Mehmet Ali Sanl?kol with George Lernis and A Far Cry present ""A Gentleman of Istanbul”",161,151,0,254,Sound On,Yes,151,Entertainment
4/29/2023,Sound On Global: Palaver Strings,70,69,0,254,Sound On,No,69,Entertainment
3/12/2023,Sound On Global: Rasa String Quartet explores the intersection of classical and folk traditions,58,58,0,254,Sound On,Yes,58,Entertainment
7/27/2023,"Sound On Music Festival: An evening of jazz, blues and the groove with Ali McGuirk and friends",146,111,0,254,Sound On,Yes,111,Entertainment
8/24/2023,Sound On Music Festival: An evening with electro-pop singer Eph See and friends,165,78,0,254,Sound On,Yes,78,Entertainment
6/23/2023,Sound On Music Festival: An evening with R&B and neo-soul singer Miranda Rae and friends,107,96,0,254,Sound On,Yes,96,Entertainment
5/12/2023,Sound On Music Festival: WBUR’s Mass. Favorite of the NPR Tiny Desk Contest Lee Zangari and friends,108,103,0,254,Sound On,Yes,103,Entertainment
5/27/2021,Sound On: $ean Wire In Concert,9,6,0,254,Sound On,No,6,Entertainment
11/1/2022,Sound On: 2022 NPR Tiny Desk Contest winner Alisa Amador live in concert,246,195,0,254,Sound On,Yes,195,Entertainment
9/29/2022,Sound On: Lady Pills live in concert,43,31,0,254,Sound On,No,31,Entertainment
5/12/2022,Sound On: Really From,135,64,0,254,Sound On,No,64,Entertainment
6/24/2021,Sound On: Really From In Concert,34,18,0,254,Sound On,No,18,Entertainment
6/9/2022,Sound On: Squirrel Flower,107,92,0,254,Sound On,No,92,Entertainment
10/5/2021,Tell Me More! Angie Thomas and Tomi Adeyemi,29,27,27,254,Tell Me More,Yes,0,Journalism & Media
9/13/2021,Tell Me More! Elizabeth Kolbert and Helen Macdonald,45,40,40,254,Tell Me More,Yes,0,Climate
2/15/2022,"Tell Me More! Jenne Desmond Harris, Meredith Goldsein, Margo Howard",248,131,111,254,Tell Me More,Yes,20,Health & Wellness
11/1/2021,"Tell Me More! Lisa Napoli, Susan Stamberg, Linda Wertheimer",129,133,133,254,Tell Me More,Yes,0,Journalism & Media
12/1/2021,Tell Me More! Misty Copeland and The Ballerinas of the 152nd Street,237,247,133,254,Tell Me More,Yes,114,Arts & Culture
3/6/2020,Crossword Show,260,204,0,254,The Crossword Show,No,204,Entertainment
7/16/2022,The Crossword Show,184,189,0,254,The Crossword Show,No,189,Entertainment
6/14/2019,The Crossword Show,194,135,0,254,The Crossword Show,No,135,Entertainment
10/20/2023,The Crossword Show with Zach Sherwin,235,221,0,254,The Crossword Show,Yes,221,Entertainment
9/14/2021,This Changes Everything: Higher Education,56,42,27,254,This Changes Everything,No,15,Education
1/19/2022,This Changes Everything: How newsrooms are shifting strategies to better serve communities,96,56,41,254,This Changes Everything,No,15,Journalism & Media
12/6/2021,This Changes Everything: How Will Arts and Culture,107,70,56,254,This Changes Everything,No,14,Arts & Culture
10/14/2021,This Changes Everything: Supreme Court,144,82,82,254,This Changes Everything,No,0,Politics
6/16/2021,This Changes Everything: The Office Edition,106,52,0,254,This Changes Everything,No,52,Business
4/21/2020,Virtual Town Hall: After the Surge,498,353,0,254,Town Hall,No,353,Health & Wellness
5/12/2020,Virtual Town Hall: Climate Change and Pandemics,400,260,0,254,Town Hall,No,260,Environment
6/4/2020,Virtual Town Hall: George Floyd,513,296,0,254,Town Hall,No,296,Social Issues
6/16/2020,Virtual Town Hall: Health Before Profits,139,67,0,254,Town Hall,No,67,Health & Wellness
5/26/2020,Virtual Town Hall: Misinformation,224,112,0,254,Town Hall,No,112,Politics
6/30/2020,Virtual Town Hall: Post-Pandemic,,323,0,254,Town Hall,No,323,Health & Wellness
6/23/2020,Virtual Town Hall: Presidential Election,221,143,0,254,Town Hall,No,143,Politics
4/28/2020,Virtual Town Hall: Prison and Homeless Populations,477,313,0,254,Town Hall,No,313,Social Issues
6/9/2020,Virtual Town Hall: Racial Inequities,306,189,0,254,Town Hall,No,189,Social Issues
5/5/2020,Virtual Town Hall: Societal Costs,247,143,0,254,Town Hall,No,143,Social Issues
5/19/2020,Virtual Town Hall: Students and Families,373,157,0,254,Town Hall,No,157,Social Issues
4/14/2020,Virtual Town Hall: The Surge,772,343,0,254,Town Hall,No,343,Health & Wellness
10/21/2021,WBUR Town Hall: Annissa Essaibi George,391,603,552,254,Town Hall,Yes,51,Politics
3/2/2021,WBUR Town Hall: Ethics and the Vaccine,103,60,0,254,Town Hall,No,60,Social Issues
3/9/2021,WBUR Town Hall: Fact Up! Your Vaccine Questions Answered,62,34,0,254,Town Hall,No,34,Health & Wellness
10/18/2021,WBUR Town Hall: Michelle Wu,414,533,466,254,Town Hall,Yes,67,Politics
11/17/2020,WBUR Town Hall: Now What? The Impact of the 2020 Election,501,369,0,254,Town Hall,No,369,Politics
2/23/2021,WBUR Town Hall: The Success and Challenges of Vaccine Distribution,120,66,0,254,Town Hall,No,66,Politics
2/16/2021,WBUR Town Hall: The Vaccine Is Here,124,65,0,254,Town Hall,No,65,Health & Wellness
3/8/2022,WBUR Town Hall: Understanding the Ukraine Crisis,367,192,170,254,Town Hall,No,22,Politics
11/8/2023,Bob Oakes Legacy,173,138,19,254,Tribute,No,119,Journalism & Media
5/2/2019,Tribute to Mary Oliver,245,167,0,254,Tribute,Yes,167,Literature
